timestamp,source_ip,pid,cpu_usage,cpu_variance,num_processes,process_creation_rate,memory_usage,page_faults,virtual_memory,file_reads,file_writes,file_deletes,file_renames,file_encryption_rate,unique_extensions,file_entropy,net_bytes_sent,net_bytes_recv,net_connections,dns_queries,external_ips,registry_mods,service_changes,privilege_escalations,shadow_copy_deletes,io_bytes,thread_count,handle_count,api_crypto,api_filesystem,api_network,api_registry,label
2019-05-12 10:05:06,192.168.1.220,1225,10.59,0.29,123,4.0,47.84,77,2050,153,64,0,0,0.0,1,5.356,100,167087,22,6,0,2,0,0,0,666701,685,14221,14,259,101,16,Benign
2019-05-12 11:35:31,192.168.1.197,9548,4.45,1.71,175,1.09,59.07,25,954,110,51,1,0,0.0094,9,5.342,59456,87717,13,8,3,2,0,0,0,380106,642,13550,13,316,31,13,Benign
2019-05-12 11:41:06,192.168.1.122,1844,23.24,5.26,115,4.52,28.1,9,2118,37,44,1,0,0.0558,6,5.423,98356,220566,12,4,1,3,0,0,0,479490,854,12709,7,141,57,14,Benign
2019-05-12 09:27:55,192.168.1.80,9584,9.63,3.41,68,2.65,44.76,34,3025,11,23,1,1,0.0011,7,3.86,84335,124665,7,8,1,4,0,0,0,624158,928,14238,8,33,6,4,Benign
2019-05-12 08:58:46,192.168.1.154,2577,19.85,3.62,85,0.79,56.27,91,2658,70,22,0,1,0.0488,3,3.522,100511,26748,29,4,3,0,0,0,0,71181,724,13751,6,467,32,21,Benign
2019-05-12 08:08:50,192.168.1.210,5850,30.09,0.41,190,3.14,43.32,43,1633,160,22,0,1,0.0219,4,4.218,24447,119233,22,1,2,3,0,0,0,572741,635,10633,12,69,28,8,Benign
2019-05-12 08:49:06,192.168.1.15,3717,8.15,2.21,128,3.2,51.06,5,2066,38,24,0,0,0.02,3,4.764,23629,278913,9,2,4,1,1,0,0,339826,595,15279,0,105,52,24,Benign
2019-05-12 11:25:41,192.168.1.52,8978,20.47,2.35,83,1.64,22.97,6,2259,149,23,1,0,0.0695,8,5.973,55074,127906,7,6,0,0,0,0,0,428332,933,7250,7,276,41,9,Benign
2019-05-12 11:21:07,192.168.1.10,8509,7.66,4.75,127,2.37,38.82,18,1345,36,25,2,0,0.0,7,5.32,53827,139699,22,1,2,2,0,0,0,341407,1066,3000,9,233,43,15,Benign
2019-05-12 10:13:22,192.168.1.36,8046,13.54,2.57,116,3.78,34.31,64,1867,118,48,1,0,0.0154,2,6.5,92587,85776,15,7,6,1,0,0,0,571030,914,15225,11,244,107,10,Benign
2019-05-12 11:25:21,192.168.1.248,2637,21.95,0.0,149,6.93,66.87,70,1100,96,69,0,0,0.0282,7,3.654,38565,283010,11,5,1,3,0,0,0,662684,455,5612,9,242,15,15,Benign
2019-05-12 08:19:02,192.168.1.68,1035,9.28,4.56,144,0.0,56.6,39,2418,41,31,0,0,0.0198,4,3.524,34094,150856,19,8,3,1,0,0,0,656423,856,21149,1,283,52,0,Benign
2019-05-12 09:16:17,192.168.1.146,5591,17.23,2.82,81,2.43,49.24,65,1791,149,15,0,0,0.0256,2,4.045,75606,1000,4,3,0,0,0,0,0,610609,1030,23230,1,250,40,2,Benign
2019-05-12 09:06:10,192.168.1.249,2311,6.35,3.02,113,1.11,75.04,40,2483,40,23,1,0,0.0354,7,5.839,63523,192252,20,9,3,2,1,0,0,279666,964,14974,3,108,49,9,Benign
2019-05-12 12:11:47,192.168.1.84,9664,88.95,8.79,113,15.99,92.06,146,2994,391,488,24,280,0.9682,38,7.848,6675326,368163,88,60,14,49,16,4,5,7408146,1391,42943,554,1016,214,89,Ransomware
2019-05-12 12:55:16,192.168.1.86,8046,100.0,20.73,237,14.59,80.14,368,3610,289,388,13,260,0.9303,10,7.603,10279896,580450,30,80,26,10,11,7,2,6329071,2439,52538,283,1995,377,109,Ransomware
2019-05-12 09:29:27,192.168.1.44,6846,4.74,2.71,155,2.69,50.52,68,1788,43,25,0,0,0.0324,3,5.671,76808,1000,14,3,3,0,0,0,0,727338,866,12954,4,127,91,8,Benign
2019-05-12 12:39:15,192.168.1.247,8200,72.26,13.37,142,3.0,98.0,317,4065,776,616,10,225,0.942,13,8.0,5478595,241924,86,47,28,46,12,7,4,9452786,2681,38975,516,1687,102,44,Ransomware
2019-05-12 10:25:20,192.168.1.197,5146,7.58,6.21,131,4.52,39.27,8,1939,73,11,1,0,0.0025,2,4.901,39753,126671,22,2,3,0,0,0,0,411455,370,14741,1,206,27,11,Benign
2019-05-12 09:30:20,192.168.1.4,8480,18.06,5.62,110,2.9,43.5,25,1623,84,32,3,0,0.0071,6,4.661,59175,51769,17,6,4,1,0,0,0,751714,827,12323,3,281,72,18,Benign
